input_channel_id,E[X],E[Xs],W,W_scaled,scale
194,0.009485895,0.29475576,-0.009094,-0.00029267278,0.03218222
195,0.039701253,0.9724256,0.03125,0.0012758449,0.040827036
196,-0.015980111,-0.47283724,0.0227,0.00076734583,0.03379622
197,-0.01534013,-0.39154345,0.02185,0.00085607567,0.039178614
198,-0.021431167,-0.5522925,-0.03613,-0.0014020981,0.038804013
199,-0.001921431,-0.062477328,-0.02405,-0.0007395689,0.030754052
200,-0.008409787,-0.20215672,0.0537,0.0022343928,0.04160033
201,-0.007677575,-0.19988124,-0.02917,-0.0011206241,0.038410682
202,-0.03428983,-0.90630877,0.014404,0.0005449808,0.0378346
203,-0.0046400614,-0.14056541,-0.10693,-0.0035298758,0.03300998
204,-0.004324513,-0.10417654,0.00952,0.00039525004,0.04151139
205,-0.01304534,-0.34374458,0.03064,0.0011627955,0.03795068
206,-0.03100076,-0.6459884,-0.005127,-0.0002460407,0.04798965
207,-0.0043165875,-0.14339936,0.02905,0.0008745414,0.030101862
208,-0.0029550844,-0.070769,0.00806,0.00033641924,0.041756764
209,-0.020146327,-0.554544,-0.03198,-0.0011619068,0.03632954
210,0.0066589923,0.18896964,-0.04004,-0.0014109134,0.035238422
211,0.0012045429,0.034543153,0.00409,0.00014259858,0.034870673
212,-0.008075117,-0.22868833,0.03198,0.0011293178,0.035310578
213,0.0019176293,0.060097102,0.02686,0.0008569271,0.031908847
214,-0.03482784,-1.0026038,0.007935,0.00027562628,0.034737393
215,-0.009578745,-0.30579185,-0.009705,-0.00030399038,0.031324394
216,-0.009470634,-0.2643902,-0.1289,-0.0046175085,0.03582067
217,0.010348773,0.2799516,-0.03198,-0.0011822715,0.03696629
218,0.009892321,0.25863984,-0.003723,-0.00014240088,0.038247477
219,0.0025138275,0.064737685,0.01855,0.00072049664,0.038830977
220,-0.0034243013,-0.10011267,-0.01672,-0.0005720231,0.034204476
221,-0.0056652054,-0.14708263,0.0569,0.0021910397,0.038517162
222,0.0068589402,0.19922058,0.0354,0.0012187955,0.034428872
223,-0.0075936858,-0.2295885,-0.07715,-0.0025517002,0.033075202
224,-0.00466541,-0.1319016,0.001709,6.0447433e-05,0.035370383
225,0.014567249,0.3909107,-0.001816,-6.766546e-05,0.037264902
226,0.008258707,0.2800741,0.0708,0.0020877435,0.029487578
227,-0.032448564,-0.6136643,0.207,0.010947135,0.05287673
228,-0.0014713078,-0.04530094,-0.006348,-0.00020616254,0.03247853
229,0.0038101792,0.103289835,0.0177,0.0006529289,0.03688823
230,0.0101580005,0.28464544,0.02966,0.0010585719,0.035686504
231,0.0011136439,0.03656826,-0.04858,-0.0014795688,0.030453837
232,0.0082768705,0.25339353,-0.06226,-0.0020335312,0.032664094
233,0.013524337,0.39017007,-0.02148,-0.00074470585,0.03466267
234,0.013400351,0.4505441,-0.02002,-0.0005954328,0.029742595
235,-0.028662551,-0.79108393,-0.014465,-0.0005241079,0.036232
236,-0.01339471,-0.2890632,-0.01672,-0.0007749455,0.046338346
237,0.0028416202,0.08270992,-0.02234,-0.0007674844,0.03435646
238,0.004806237,0.14611307,-0.02454,-0.0008070905,0.032893956
239,0.023128403,0.6090424,-0.02405,-0.00091321784,0.03797503
240,-0.0076632327,-0.24797039,0.06934,0.0021427455,0.030903822
241,-0.008246125,-0.22994386,-0.04395,-0.0015759435,0.03586147
242,0.047939084,1.0157689,-0.0371,-0.0017513724,0.047194876
243,0.013290533,0.37003335,-0.0762,-0.0027358746,0.035917122
244,0.001522178,0.040432613,-0.04858,-0.0018290549,0.03764728
245,-0.0035875833,-0.106755055,-0.02087,-0.0007014871,0.033605747
246,-0.013574747,-0.31538075,-0.0437,-0.0018810037,0.04304241
247,-0.012262392,-0.35982552,0.015076,0.00051375997,0.034078717
248,0.018172003,0.47145295,-0.012146,-0.00046816355,0.03854468
249,-0.0007572295,-31.223091,0.0315,7.638031e-07,2.4252227e-05
250,0.00083405164,0.022566563,0.0625,0.0023099764,0.036959622
251,0.043402087,0.7287265,-0.02185,-0.001301395,0.059558816
252,-0.008972224,-0.17308345,0.05933,0.003075324,0.05183756
253,0.018435257,0.56925344,-0.01526,-0.00049415545,0.032384973
254,-0.01749795,-0.49245673,-0.07275,-0.0025850884,0.035531953
255,0.0126052955,0.31906876,0.0047,0.00018566905,0.039506517
256,0.022997597,0.59849864,-0.01843,-0.00070828217,0.03842548
257,-0.0116177425,-0.38142812,0.03015,0.0009183665,0.030458536
258,0.005295927,0.13293673,0.0337,0.0013421966,0.039837953
259,0.00831809,0.25547856,0.02222,0.0007233535,0.03255886
260,-0.0057791374,-0.16022803,-0.02136,-0.0007705,0.036068205
261,-0.013791672,-0.39487374,0.01709,0.00059689337,0.03492679
262,-0.0072360225,-0.2207737,0.04175,0.0013683233,0.032775745
263,-0.031588946,-0.7439873,-0.04712,-0.0020006308,0.042458985
264,0.019097004,0.53584564,-0.0001945,-6.9335524e-06,0.035639003
265,0.002212893,0.06508321,-0.01477,-0.0005022117,0.034000978
266,-0.0005700601,-0.016621733,0.02185,0.00074938923,0.03429607
267,0.016191034,0.46379966,0.01196,0.00041761904,0.034909543
268,-0.00499728,-0.16856085,0.001671,4.9534887e-05,0.029646743
269,0.010306268,0.26608288,-0.0376,-0.0014562813,0.0387333
270,-0.000833187,-0.025121773,0.02966,0.0009838039,0.03316593
271,0.018778536,0.4500869,0.0105,0.00043799978,0.041722026
272,0.004483153,0.11509566,-0.02771,-0.0010793456,0.03895154
273,0.0038954571,0.10122441,-0.06494,-0.0024991645,0.038483378
274,0.007564335,0.21025097,0.009766,0.0003513442,0.035977647
275,0.010081875,0.2963541,-0.02856,-0.00097175397,0.034019694
276,-0.015043616,-0.4693968,-0.02148,-0.00068854896,0.032048825
277,0.017949738,0.3985411,-0.0952,-0.004288344,0.04503861
278,-0.01888638,-0.44578463,-0.06006,-0.0025444785,0.0423666
279,-0.027042553,-0.6947374,-0.03857,-0.001501496,0.038924858
280,-0.00050683547,-0.015709236,0.02954,0.00095309754,0.032263532
281,-0.0077116326,-0.19200374,-0.01758,-0.0007060073,0.04016397
282,0.013070803,0.33539456,0.01636,0.000637472,0.038971424
283,0.028788377,0.698495,0.04175,0.0017206401,0.041214865
284,0.013896979,0.35245436,0.0603,0.002377686,0.039429158
285,0.01784863,0.4004033,0.03687,0.0016433279,0.04457663
286,0.03250933,0.90510267,-0.02734,-0.0009821283,0.035917837
287,-0.0005458921,-0.015150764,0.1279,0.0046093916,0.036030665
288,-0.008562547,-0.2507086,-0.01166,-0.0003981504,0.034153383
289,0.016488144,0.6154085,-0.02429,-0.0006508358,0.026792197
290,-0.019222856,-0.54295707,-0.013306,-0.00047107384,0.035404008
291,0.029970398,0.8870127,0.00824,0.00027840465,0.033788014
292,-0.0115990015,-0.32556304,-0.00928,-0.0003305287,0.035627514
293,-0.006419361,-0.15992568,0.01917,0.0007692779,0.04013965
294,0.012328269,0.38734287,-0.042,-0.0013365187,0.031827793
295,0.006173034,0.23111637,-0.04004,-0.0010694289,0.026709637
296,-0.013032393,-0.27303442,0.01624,0.00077494065,0.047731683
297,-0.014043923,-0.3169046,-0.004303,-0.0001906905,0.04431593
298,-0.007539085,-0.23180154,-0.0349,-0.0011354772,0.032523878
299,0.017631253,0.60721576,0.04077,0.00118385,0.029036226
300,-0.013386433,-0.4408411,-0.0432,-0.0013121881,0.030365665
301,0.006176278,0.14194043,-0.02441,-0.0010623332,0.04351317
302,-0.015315832,-0.43516007,-0.0737,-0.002595007,0.035195857
303,-0.004664768,-0.1362779,-0.105,-0.0035934625,0.03422982
304,-0.009912625,-0.33486602,0.05664,0.0016766624,0.029601764
305,-0.009032351,-0.24053515,-0.0454,-0.0017051997,0.037551064
306,-0.0042397114,-0.13045745,0.0442,0.0014361045,0.032498807
307,0.007072507,0.22672622,0.00322,0.00010043247,0.03119404
308,-0.0039179227,-0.09559117,0.01831,0.00075048045,0.04098624
309,-0.01583363,-0.42712075,0.01111,0.0004117952,0.037070617
310,-0.011879886,-0.30490756,0.04297,0.0016741593,0.038962252
311,0.0068808566,0.18668638,-0.01599,-0.00058940146,0.03685784
312,0.004186784,0.11992353,0.03516,0.001227379,0.034912113
313,0.006606749,0.18057445,0.06177,0.0022599148,0.036587395
314,0.023447711,0.5693061,-0.01538,-0.0006334834,0.041186478
315,0.008485161,0.22984843,0.05518,0.0020368875,0.03691633
316,0.014050955,0.3118887,0.04395,0.0019797883,0.045051184
317,-0.004607014,-0.13842864,0.002502,8.3283216e-05,0.033280786
318,-0.0074504786,-0.2478661,-0.0703,-0.002113487,0.030058483
319,0.014247469,0.44084603,-0.02563,-0.0008284764,0.03231847
320,-0.008201251,-0.18820031,0.00482,0.00021011976,0.043577243
321,-0.010122795,-0.2476483,-0.02075,-0.00084825035,0.04087569
322,-0.009837906,-0.25643218,0.01062,0.00040743605,0.038364552
323,-0.022147864,-0.5996431,-0.05078,-0.0018756094,0.036935076
324,-0.012297352,-0.4240072,0.04028,0.0011683215,0.029002696
325,0.016349364,0.45492142,0.01917,0.0006887699,0.035938874
326,0.0110752955,0.31189367,0.007324,0.00026008187,0.035509843
327,0.0029507515,0.07843991,-0.04614,-0.0017357909,0.037617985
328,0.019266622,0.485158,0.02844,0.0011295055,0.039712057
329,0.0195474,0.6034773,-0.0698,-0.0022616955,0.032391276
330,0.00036534385,0.0097068725,-0.04834,-0.001819398,0.037637647
331,0.017240744,0.48906863,0.07715,0.0027196521,0.0352522
332,-0.010942155,-0.275513,-0.063,-0.0025016153,0.039715566
333,0.0099593755,0.21518333,-0.02612,-0.0012090584,0.04628321
334,-0.00358456,-0.07745968,0.02905,0.0013444579,0.046276465
335,-0.009102461,-0.2326166,0.001312,5.1349547e-05,0.039130744
336,0.010671687,0.27531308,0.006958,0.00026970636,0.038762007
337,-0.017856257,-0.58036274,-0.0155,-0.00047698498,0.03076741
338,-0.028243208,-0.5863544,-0.05518,-0.0026576777,0.04816747
339,0.0041415435,0.13015975,-0.013,-0.0004136616,0.031818926
340,0.0033922011,0.1208643,-0.04932,-0.0013841239,0.028066196
341,0.006514675,0.15011044,-0.02759,-0.0011972928,0.043399215
342,-9.910803e-05,-0.0031831593,0.015076,0.00046938314,0.031135116
343,-0.00031412512,-0.009703042,0.08057,0.002608247,0.03237388
344,0.01272123,0.32395467,0.0742,0.0029144627,0.03926855
345,-0.020802377,-0.65277344,-0.042,-0.0013381937,0.031867683
346,-0.00712945,-0.20011005,0.06836,0.0024354835,0.035627645
347,-0.0067880605,-0.1541929,0.04077,0.0017948902,0.044023175
348,0.01895453,0.5527876,-0.07764,-0.002662085,0.034288995
349,0.008297089,0.28110322,-0.03662,-0.0010809142,0.029516164
350,-0.0012662308,-0.038601555,0.007446,0.00024425754,0.032802586
351,-0.013647744,-0.36440682,-0.02136,-0.0008000599,0.037451945
352,0.016503192,0.39495298,0.003418,0.00014282053,0.041785207
353,0.026394393,0.71462953,0.04517,0.0016681785,0.036934372
354,0.03327693,0.81906945,0.005646,0.00022937408,0.04062773
355,-0.010868648,-0.2930117,-0.03174,-0.0011772644,0.037092883
356,-0.0068301912,-0.19765231,-0.0747,-0.0025816208,0.034556597
357,-0.02824805,-0.73443824,0.01459,0.00056106236,0.038462117
358,-0.027013833,-0.70853025,0.03088,0.0011774931,0.038126577
359,0.0033626824,0.09879482,0.04272,0.0014542189,0.03403703
360,0.013381813,0.41724017,0.02856,0.000916125,0.032072205
